date	1st	2nd		
16/7/2012	904050	11 	 	 
1/7/2012	915900	60 	 	 
16/6/2012	159373	51 	 	 
1/6/2012	882727	38 	 	 
16/5/2012	814418	31 	 	 
2/5/2012	889501	29 	 	 
16/4/2012	583470	62 	 	 
1/4/2012	257562	69 	 	 
16/3/2012	607064	08 	 	 
1/3/2012	222518	79 	 	 
16/2/2012	648684	18 	 	 
1/2/2012	320605	32 	 	 
16/1/2012	451445	81 	 	 
30/12/2011	526402	65 	 	 
16/12/2011	884178	21 	 	 
1/12/2011	408147	02 	 	 
16/11/2011	997777	57 	 	 
1/11/2011	805540	54 	 	 
16/10/2011	955756	83 	 	 
1/10/2011	511052	15 	 	 
16/9/2011	731198	28 	 	 
1/9/2011	724533	85 	 	 
16/8/2011	536960	62 	 	 
1/8/2011	218756	12 	 	 
16/7/2011	116556	12 	 	 
1/7/2011	622953	51 	 	 
16/6/2011	351276	88 	 	 
1/6/2011	562370	46 	 	 
16/5/2011	406417	05 	 	 
2/5/2011	054136	85 	 	 
16/4/2011	825988	44 	 	 
1/4/2011	814931	01 	 	 
16/3/2011	593331	96 	 	 
1/3/2011	656037	97 	 	 
16/2/2011	481746	27 	 	 
1/2/2011	610089	55 	 	 
16/1/2011	281062	23 	 	 
30/12/2010	884112	49 	 	 
16/12/2010	334380	24 	 	 
1/12/2010	181752	09 	 	 
16/11/2010	813993	43 	 	 
1/11/2010	191100	59 	 	 
16/10/2010	621377	42 	 	 
1/10/2010	488372	02 	 	 
16/9/2010	017422	66 	 	 
1/9/2010	354656	11 	 	 
16/8/2010	911097	64 	 	 
1/8/2010	210008	10 	 	 
16/7/2010	180387	34 	 	 
1/7/2010	480239	68 	 	 
16/6/2010	500104	73 	 	 
1/6/2010	444874	81 	 	 
16/5/2010	480012	12 	 	 
2/5/2010	360371	06 	 	 
16/4/2010	211743	96 	 	 
1/4/2010	959517	22 	 	 
16/3/2010	364222	97 	 	 
1/3/2010	215227	97 	 	 
16/2/2010	133707	03 	 	 
1/2/2010	186312	14 	 	 
16/1/2010	073577	67 	 	 
30/12/2009	994304	87 	 	 
16/12/2009	685141	05 	 	 
1/12/2009	776980	59 	 	 
16/11/2009	055986	58 	 	 
1/11/2009	689140	85 	 	 
16/10/2009	258487	00 	 	 
1/10/2009	169387	06 	 	 
16/9/2009	202912	48 	 	 
1/9/2009	015865	32 	 	 
16/8/2009	462933	96 	 	 
1/8/2009	154986	92 	 	 
16/7/2009	000816	94 	 	 
1/7/2009	207542	66 	 	 
16/6/2009	930456	15 	 	 
1/6/2009	777661	26 	 	 
16/5/2009	111411	54 	 	 
2/5/2009	294452	11 	 	 
16/4/2009	368415	33 	 	 
1/4/2009	816578	50 	 	 
16/3/2009	268812	36 	 	 
1/3/2009	553091	67 	 	 
16/2/2009	038730	93 	 	 
1/2/2009	534533	69 	 	 
16/1/2009	743212	25 	 	 
30/12/2008	218596	22 	 	 
16/12/2008	074114	25 	 	 
1/12/2008	205434	05 	 	 
16/11/2008	002612	20 	 	 
1/11/2008	272028	76 	 	 
16/10/2008	431277	98 	 	 
1/10/2008	882911	67 	 	 
16/9/2008	012377	56 	 	 
1/9/2008	695993	09 	 	 
16/8/2008	380377	36 	 	 
1/8/2008	850348	11 	 	 
16/7/2008	257374	41 	 	 
1/7/2008	943671	50 	 	 
16/6/2008	729111	75 	 	 
1/6/2008	414875	35 	 	 
16/5/2008	329231	69 	 	 
2/5/2008	453011	62 	 	 
16/4/2008	982800	64 	 	 
1/4/2008	012653	71 	 	 
16/3/2008	074946	33 	 	 
1/3/2008	936685	05 	 	 
16/2/2008	137054	80 	 	 
1/2/2008	212684	26 	 	 
16/1/2008	556010	81 	 	 
30/12/2007	595411	81 	 	 
16/12/2007	513501	96 	 	 
1/12/2007	113410	18 	 	 
16/11/2007	562481	73 	 	 
1/11/2007	927907	88 	 	 
16/10/2007	032988	48 	 	 
1/10/2007	430667	76 	 	 
16/9/2007	499336	45 	 	 
1/9/2007	331810	69 	 	 
16/8/2007	476207	93 	 	 
1/8/2007	429924	29 	 	 
16/7/2007	527384	77 	 	 
1/7/2007	565151	76 	 	 
16/6/2007	393194	41 	 	 
1/6/2007	836393	05 	 	 
16/5/2007	232897	25 	 	 
2/5/2007	430374	81 	 	 
16/4/2007	405105	63 	 	 
1/4/2007	622780	93 	 	 
16/3/2007	876763	85 	 	 
1/3/2007	742425	61 	 	 
16/2/2007	277859	95 	 	 
1/2/2007	769925	56 	 	 
16/1/2007	838739	55 	 	 
30/12/2006	778584	07 	 	 
16/12/2006	147977	45 	 	 
1/12/2006	270052	12 	 	 
16/11/2006	562856	94 	 	 
1/11/2006	910957	29 	 	 
16/10/2006	264825	58 	 	 
1/10/2006	952335	92 	 	 
16/9/2006	217948	41 	 	 
1/9/2006	381761	44 	 	 
16/8/2006	977486	91 	 	 
1/8/2006	238654	88 	 	 
16/7/2006	512434	48 	 	 
1/7/2006	952890	65 	 	 
16/6/2006	100935	17 	 	 
1/6/2006	810850	99 	 	 
16/5/2006	100344	71 	 	 
2/5/2006	024554	27 	 	 
16/4/2006	038564	49 	 	 
1/4/2006	738365	95 	 	 
16/3/2006	936177	30 	 	 
1/3/2006	582473	43 	 	 
16/2/2006	317009	66 	 	 
1/2/2006	412729	87 	 	 
16/1/2006	432747	79 	 	 
30/12/2005	492955	94 	 	 
16/12/2005	449565	86 	 	 
1/12/2005	388551	17 	 	 
16/11/2005	742518	80 	 	 
1/11/2005	970577	98 	 	 
16/10/2005	041072	71 	 	 
1/10/2005	766482	24 	 	 
16/9/2005	214768	10 	 	 
1/9/2005	316933	17 	 	 
16/8/2005	475560	68 	 	 
1/8/2005	961633	26 	 	 
16/7/2005	477452	13 	 	 
1/7/2005	009554	87 	 	 
16/6/2005	793070	44 	 	 
1/6/2005	176893	35 	 	 
16/5/2005	867134	97 	 	 
2/5/2005	772467	43 	 	 
16/4/2005	119327	10 	 	 
1/4/2005	815753	69 	 	 
16/3/2005	196345	03 	 	 
1/3/2005	800751	93 	 	 
16/2/2005	816422	53 	 	 
1/2/2005	540054	34 	 	 
16/1/2005	335022	08 	 	 
30/12/2004	168858	28 	 	 
16/12/2004	479372	17 	 	 
1/12/2004	504658	69 	 	 
16/11/2004	754622	64 	 	 
1/11/2004	185966	23 	 	 
16/10/2004	355858	62 	 	 
1/10/2004	110866	66 	 	 
